ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24199,JB451828,09/26/2018 05:03:00 PM,034XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0211,002,11,35,01A,1175968,1881932,2018,08/31/2022 04:51:30 PM,41.831385245,-87.62985824,"(41.831385245, -87.62985824)"
25287,JD291694,07/09/2020 04:06:00 PM,004XX S LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1522,015,29,25,01A,1141799,1897416,2020,08/31/2022 04:51:30 PM,41.874574905,-87.754845736,"(41.874574905, -87.754845736)"
25565,JD407328,10/22/2020 12:32:00 PM,075XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0624,006,6,69,01A,1181871,1855138,2020,08/31/2022 04:51:30 PM,41.75772549,-87.609028176,"(41.75772549, -87.609028176)"
24903,JD114877,01/14/2020 05:27:00 AM,037XX N SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1733,017,33,16,01A,1155719,1924775,2020,08/31/2022 04:51:30 PM,41.949381495,-87.702998991,"(41.949381495, -87.702998991)"
24886,JC564006,12/29/2019 11:25:00 AM,030XX W 39TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0921,009,12,58,01A,1156684,1878275,2019,08/31/2022 04:51:30 PM,41.821761535,-87.700711857,"(41.821761535, -87.700711857)"
23944,JB267664,05/17/2018 06:27:00 PM,011XX N MASON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,1511,015,29,25,01A,1136490,1906930,2018,08/31/2022 04:51:30 PM,41.900779103,-87.774110737,"(41.900779103, -87.774110737)"
24250,JB485287,10/22/2018 04:06:00 PM,055XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0712,007,20,68,01A,1171582,1868084,2018,08/31/2022 04:51:30 PM,41.793482375,-87.646356929,"(41.793482375, -87.646356929)"
23577,JA430510,09/14/2017 10:28:00 AM,071XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0733,007,17,68,01A,1170550,1857402,2017,08/31/2022 04:51:30 PM,41.764192264,-87.650452234,"(41.764192264, -87.650452234)"
23934,JB258088,05/11/2018 06:21:00 AM,033XX W GLADYS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,1134,011,28,27,01A,1154354,1898103,2018,08/31/2022 04:51:30 PM,41.876218655,-87.708730543,"(41.876218655, -87.708730543)"
23073,JA113804,01/12/2017 09:31:00 PM,027XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1032,010,22,30,01A,1154142,1885591,2017,08/31/2022 04:51:30 PM,41.841888544,-87.709842547,"(41.841888544, -87.709842547)"
25192,JD266563,06/17/2020 02:27:00 AM,062XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0825,008,16,66,01A,1161441,1863309,2020,08/31/2022 04:51:30 PM,41.780595495,-87.68367553,"(41.780595495, -87.68367553)"
24376,JC113431,01/11/2019 08:00:00 PM,050XX W CONCORD PL,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2533,025,37,25,01A,1142582,1910502,2019,08/31/2022 04:51:30 PM,41.910469919,-87.751645139,"(41.910469919, -87.751645139)"
24573,JC286989,05/31/2019 10:44:00 PM,015XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2534,025,26,23,01A,1148100,1909930,2019,08/31/2022 04:51:30 PM,41.908795816,-87.731388637,"(41.908795816, -87.731388637)"
25608,JD426429,11/09/2020 06:50:00 PM,067XX N NEWGARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2432,024,49,1,01A,1165374,1944918,2020,08/31/2022 04:51:30 PM,42.00445423,-87.666932652,"(42.00445423, -87.666932652)"
25463,JD366424,09/14/2020 12:12:00 AM,074XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0323,003,6,69,01A,1182512,1855891,2020,08/31/2022 04:51:30 PM,41.759776965,-87.606655704,"(41.759776965, -87.606655704)"
